"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2018S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2340",""
"2018S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2510",""
"2018S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2521",""
"2018S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2350",""
"2018S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2521",""
"2019S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2595",""
"2019S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2408",""
"2019S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2595",""
"2019S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2418",""
"2019S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2244",""
"2019S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2418",""
"2020S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2564",""
"2020S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2379",""
"2020S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2564",""
